session_id,asset_name,subject_id,acquisition_date,session_type,session_description,stimulus_class,image_set_name,species,sex,age,genotype,institution,lab,experimenter,identifier,change_flashes_min,change_flashes_max,change_time_distribution,change_time_scale,pre_change_time_sec,min_no_lick_time_sec,timeout_duration_sec,end_after_response_sec,failure_repeats,catch_mode,stimulus_duration_sec,blank_duration_sec,flash_omit_probability,reward_volume_ml,auto_reward_volume_ml,auto_reward_delay_sec,volume_limit_ml,free_reward_trials,warm_up_trials,task_id,task_name,max_task_duration_min,epilogue_name,epilogue_movie_path,epilogue_runs,epilogue_frame_length_sec,task_hed_tags,response_window_start_sec,response_window_stop_sec,catch_frequency
1050231786,old_vbo_data,523922,2020-09-14T10:11:13.692000+00:00,OPHYS_3_images_A,OPHYS_3_images_A,images,Natural_Images_Lum_Matched_set_training_2017.07.14,Mus musculus,U,,,,,,51c534db-a3f9-4e19-8f4c-b516bce27512,4.0,12.0,geometric,0.3,0.0,0.0,0.3,3.5,5.0,implicit,0.25,0.5,0.05,0.007,0.005,0.15,5.0,10000.0,5.0,DoC,change detection,60.0,fingerprint,//allen/programs/braintv/workgroups/neuralcoding/Saskia/Visual Stimuli 151207/Movie_TOE1.npy,10.0,0.03333333333333333,"Task, Experiment-procedure, Label/change_detection_task",0.15,0.75,
1404822121,multiplane-ophys_755252_2024-11-12_09-43-51,755252,2024-11-12T09:43:50.694000+00:00,TRAINING_0_gratings_autorewards_15min,TRAINING_0_gratings_autorewards_15min,grating,,Mus musculus,U,,,,,,77794793-0c1a-4c7c-8127-12c131862029,,,exponential,2.0,2.25,0.0,0.3,3.5,0.0,explicit,,,,0.0,0.005,0.15,5.0,10.0,-1.0,DoC,change detection,15.0,,,,,"Task, Experiment-procedure, Label/change_detection_task",0.0,0.0,0.0
1404968547,multiplane-ophys_755252_2024-11-13_09-16-29,755252,2024-11-13T09:16:29.123000+00:00,TRAINING_1_gratings,TRAINING_1_gratings,grating,,Mus musculus,U,,,,,,3e943a83-54b4-4075-9080-f3cd10395f4f,,,exponential,2.0,2.25,0.0,0.3,3.5,5.0,explicit,,,,0.01,0.005,0.15,5.0,10.0,5.0,DoC,change detection,60.0,,,,,"Task, Experiment-procedure, Label/change_detection_task",0.15,1.0,0.25
1405136170,multiplane-ophys_755252_2024-11-14_11-28-00,755252,2024-11-14T11:28:00.030000+00:00,TRAINING_1_gratings,TRAINING_1_gratings,grating,,Mus musculus,U,,,,,,ebb575dc-c499-4378-88cc-e47d76f16073,,,exponential,2.0,2.25,0.0,0.3,3.5,5.0,explicit,,,,0.01,0.005,0.15,5.0,10.0,5.0,DoC,change detection,60.0,,,,,"Task, Experiment-procedure, Label/change_detection_task",0.15,1.0,0.25
1405286140,multiplane-ophys_755252_2024-11-15_10-49-40,755252,2024-11-15T10:49:39.485000+00:00,TRAINING_1_gratings,TRAINING_1_gratings,grating,,Mus musculus,U,,,,,,b34fe8aa-3888-4bb6-b416-57f757c9276c,,,exponential,2.0,2.25,0.0,0.3,3.5,5.0,explicit,,,,0.01,0.005,0.15,5.0,10.0,5.0,DoC,change detection,60.0,,,,,"Task, Experiment-procedure, Label/change_detection_task",0.15,1.0,0.25
1405689258,multiplane-ophys_755252_2024-11-18_08-01-08,755252,2024-11-18T08:01:08.312000+00:00,TRAINING_1_gratings,TRAINING_1_gratings,grating,,Mus musculus,U,,,,,,110e3ed7-5020-4c9c-a726-f4ac38e3790b,,,exponential,2.0,2.25,0.0,0.3,3.5,5.0,explicit,,,,0.01,0.005,0.15,5.0,10.0,5.0,DoC,change detection,60.0,,,,,"Task, Experiment-procedure, Label/change_detection_task",0.15,1.0,0.25
1405947802,multiplane-ophys_755252_2024-11-19_09-05-21,755252,2024-11-19T09:05:20.801000+00:00,TRAINING_1_gratings,TRAINING_1_gratings,grating,,Mus musculus,U,,,,,,f9b491e5-470c-4845-a4cd-8e12645c9c4d,,,exponential,2.0,2.25,0.0,0.3,3.5,5.0,explicit,,,,0.01,0.005,0.15,5.0,10.0,5.0,DoC,change detection,60.0,,,,,"Task, Experiment-procedure, Label/change_detection_task",0.15,1.0,0.25
1406395427,multiplane-ophys_755252_2024-11-21_11-18-50,755252,2024-11-21T11:18:49.346000+00:00,TRAINING_1_gratings,TRAINING_1_gratings,grating,,Mus musculus,U,,,,,,527d3fc8-54c7-483e-abb7-c85b558ca065,,,exponential,2.0,2.25,0.0,0.3,3.5,5.0,explicit,,,,0.01,0.005,0.15,5.0,10.0,5.0,DoC,change detection,60.0,,,,,"Task, Experiment-procedure, Label/change_detection_task",0.15,1.0,0.25
1406565107,multiplane-ophys_755252_2024-11-22_12-00-43,755252,2024-11-22T12:00:43.040000+00:00,TRAINING_1_gratings,TRAINING_1_gratings,grating,,Mus musculus,U,,,,,,e6c1a110-84e6-44df-ad91-f4ef56f412be,,,exponential,2.0,2.25,0.0,0.3,3.5,5.0,explicit,,,,0.01,0.005,0.15,5.0,10.0,5.0,DoC,change detection,60.0,,,,,"Task, Experiment-procedure, Label/change_detection_task",0.15,1.0,0.25
1408183365,multiplane-ophys_755252_2024-12-03_09-14-20,755252,2024-12-03T09:14:20.221000+00:00,TRAINING_2_gratings_flashed,TRAINING_2_gratings_flashed,grating,,Mus musculus,U,,,,,,411fe0e8-11e2-45fe-801e-01c7dd8f6f5b,4.0,12.0,geometric,0.3,0.0,0.0,0.3,3.5,5.0,explicit,0.25,0.5,,0.01,0.005,0.15,5.0,10.0,5.0,DoC,change detection,60.0,,,,,"Task, Experiment-procedure, Label/change_detection_task",0.15,0.75,0.25
1408357217,multiplane-ophys_755252_2024-12-04_12-06-54,755252,2024-12-04T12:06:53.533000+00:00,TRAINING_3_images_A_10uL_reward,TRAINING_3_images_A_10uL_reward,images,Natural_Images_Lum_Matched_set_training_2017.07.14,Mus musculus,U,,,,,,20829c39-2a7d-49b6-a44a-b4e9f663cef9,4.0,12.0,geometric,0.3,0.0,0.0,0.3,3.5,5.0,implicit,0.25,0.5,,0.01,0.005,0.15,5.0,10.0,5.0,DoC,change detection,60.0,,,,,"Task, Experiment-procedure, Label/change_detection_task",0.15,0.75,
1408559538,multiplane-ophys_755252_2024-12-05_11-34-40,755252,2024-12-05T11:34:39.690000+00:00,TRAINING_3_images_A_10uL_reward,TRAINING_3_images_A_10uL_reward,images,Natural_Images_Lum_Matched_set_training_2017.07.14,Mus musculus,U,,,,,,ed01426f-6879-4f00-b323-18ed87f50444,4.0,12.0,geometric,0.3,0.0,0.0,0.3,3.5,5.0,implicit,0.25,0.5,,0.01,0.005,0.15,5.0,10.0,5.0,DoC,change detection,60.0,,,,,"Task, Experiment-procedure, Label/change_detection_task",0.15,0.75,
1408854690,multiplane-ophys_755252_2024-12-06_11-13-10,755252,2024-12-06T11:13:09.568000+00:00,TRAINING_3_images_A_10uL_reward,TRAINING_3_images_A_10uL_reward,images,Natural_Images_Lum_Matched_set_training_2017.07.14,Mus musculus,U,,,,,,e03c8f34-ac7c-4617-805c-72cb44309b7b,4.0,12.0,geometric,0.3,0.0,0.0,0.3,3.5,5.0,implicit,0.25,0.5,,0.01,0.005,0.15,5.0,10.0,5.0,DoC,change detection,60.0,,,,,"Task, Experiment-procedure, Label/change_detection_task",0.15,0.75,
1409312931,multiplane-ophys_755252_2024-12-09_11-34-27,755252,2024-12-09T11:34:26.996000+00:00,TRAINING_4_images_A_training,TRAINING_4_images_A_training,images,Natural_Images_Lum_Matched_set_training_2017.07.14,Mus musculus,U,,,,,,c16aabd0-c17f-4cfa-a216-e4c50fb8aa7e,4.0,12.0,geometric,0.3,0.0,0.0,0.3,3.5,5.0,implicit,0.25,0.5,,0.007,0.005,0.15,5.0,10000.0,5.0,DoC,change detection,60.0,,,,,"Task, Experiment-procedure, Label/change_detection_task",0.15,0.75,
1409536753,multiplane-ophys_755252_2024-12-10_09-07-12,755252,2024-12-10T09:07:12.117000+00:00,TRAINING_5_images_A_epilogue,TRAINING_5_images_A_epilogue,images,Natural_Images_Lum_Matched_set_training_2017.07.14,Mus musculus,U,,,,,,aad21e7a-b183-4c52-a606-076f3a9f1e51,4.0,12.0,geometric,0.3,0.0,0.0,0.3,3.5,5.0,implicit,0.25,0.5,,0.007,0.005,0.15,5.0,10000.0,5.0,DoC,change detection,60.0,fingerprint,//allen/programs/braintv/workgroups/neuralcoding/Saskia/Visual Stimuli 151207/Movie_TOE1.npy,10.0,0.03333333333333333,"Task, Experiment-procedure, Label/change_detection_task",0.15,0.75,
1409787710,multiplane-ophys_755252_2024-12-11_11-52-58,755252,2024-12-11T11:52:57.587000+00:00,TRAINING_5_images_A_handoff_ready,TRAINING_5_images_A_handoff_ready,images,Natural_Images_Lum_Matched_set_training_2017.07.14,Mus musculus,U,,,,,,b9084989-caef-4c54-a9b8-646c77b2958f,4.0,12.0,geometric,0.3,0.0,0.0,0.3,3.5,5.0,implicit,0.25,0.5,,0.007,0.005,0.15,5.0,10000.0,5.0,DoC,change detection,60.0,fingerprint,//allen/programs/braintv/workgroups/neuralcoding/Saskia/Visual Stimuli 151207/Movie_TOE1.npy,10.0,0.03333333333333333,"Task, Experiment-procedure, Label/change_detection_task",0.15,0.75,
1409931396,multiplane-ophys_755252_2024-12-12_10-58-08,755252,2024-12-12T10:58:08.176000+00:00,OPHYS_1_images_A,OPHYS_1_images_A,images,Natural_Images_Lum_Matched_set_training_2017.07.14,Mus musculus,U,,,,,,4fee9b38-e7eb-466b-b4ca-6fe4c748ad94,4.0,12.0,geometric,0.3,0.0,0.0,0.3,3.5,5.0,implicit,0.25,0.5,0.05,0.007,0.005,0.15,5.0,10000.0,5.0,DoC,change detection,60.0,fingerprint,//allen/programs/braintv/workgroups/neuralcoding/Saskia/Visual Stimuli 151207/Movie_TOE1.npy,10.0,0.03333333333333333,"Task, Experiment-procedure, Label/change_detection_task",0.15,0.75,
1410094054,multiplane-ophys_755252_2024-12-13_11-03-53,755252,2024-12-13T11:03:53.054000+00:00,OPHYS_1_images_A,OPHYS_1_images_A,images,Natural_Images_Lum_Matched_set_training_2017.07.14,Mus musculus,U,,,,,,7f5c49b5-ea08-49fe-9581-fddf4061bede,4.0,12.0,geometric,0.3,0.0,0.0,0.3,3.5,5.0,implicit,0.25,0.5,0.05,0.007,0.005,0.15,5.0,10000.0,5.0,DoC,change detection,60.0,fingerprint,//allen/programs/braintv/workgroups/neuralcoding/Saskia/Visual Stimuli 151207/Movie_TOE1.npy,10.0,0.03333333333333333,"Task, Experiment-procedure, Label/change_detection_task",0.15,0.75,
1410496565,multiplane-ophys_755252_2024-12-16_11-32-36,755252,2024-12-16T11:32:35.855000+00:00,OPHYS_1_images_A,OPHYS_1_images_A,images,Natural_Images_Lum_Matched_set_training_2017.07.14,Mus musculus,U,,,,,,c9192981-05fd-454a-a6a4-0f8fe230c9d5,4.0,12.0,geometric,0.3,0.0,0.0,0.3,3.5,5.0,implicit,0.25,0.5,0.05,0.007,0.005,0.15,5.0,10000.0,5.0,DoC,change detection,60.0,fingerprint,//allen/programs/braintv/workgroups/neuralcoding/Saskia/Visual Stimuli 151207/Movie_TOE1.npy,10.0,0.03333333333333333,"Task, Experiment-procedure, Label/change_detection_task",0.15,0.75,
1410616019,multiplane-ophys_755252_2024-12-17_08-56-37,755252,2024-12-17T08:56:36.909000+00:00,OPHYS_4_images_B,OPHYS_4_images_B,images,Natural_Images_Lum_Matched_set_ophys_6_2017.07.14,Mus musculus,U,,,,,,f7bd50cb-8ac1-4ffa-888b-fac017a4cb6e,4.0,12.0,geometric,0.3,0.0,0.0,0.3,3.5,5.0,implicit,0.25,0.5,0.05,0.007,0.005,0.15,5.0,10000.0,5.0,DoC,change detection,60.0,fingerprint,//allen/programs/braintv/workgroups/neuralcoding/Saskia/Visual Stimuli 151207/Movie_TOE1.npy,10.0,0.03333333333333333,"Task, Experiment-procedure, Label/change_detection_task",0.15,0.75,
